Zeitstempel,node_lng,node_lat,hotspot_channel,hotspot_frequency,hotspot_hold_time,hotspot_id,hotspot_lat,hotspot_long,hotspot_name,hotspot_reported_at,hotspot_rssi,hotspot_snr,hotspot_spreading,hotspot_status,type,uuid,id,name,fcnt,reported_at,port,devaddr
24.12.2022 15:54:57,12.1576,47.5758,7,868.5,0,11mRE6CqY1UNomYQ5v8W1dPSxJV14Awbiv3oBndsbTcFWaMJAsM,47.5727162077406,12.159984839583768,loud-pastel-sloth,1671893694952,-110,6.0,SF7BW125,success,uplink,8eaf0ee4-fcf7-4a35-843c-e1b92febae2b,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,222,24.12.2022 15:54:54,3,01000048
24.12.2022 15:55:58,12.1576,47.5758,5,868.0999755859375,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893755704,-116,-8.5,SF7BW125,success,uplink,cd636547-f84f-40ee-826c-ec0945b8e867,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,223,24.12.2022 15:55:55,3,01000048
24.12.2022 15:56:57,12.1577,47.5758,6,868.2999877929688,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893814875,-115,-8.0,SF7BW125,success,uplink,914edc3c-f0b9-4a9e-9580-42f0c140d4a5,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,224,24.12.2022 15:56:54,3,01000048
24.12.2022 15:57:58,12.1577,47.5758,5,868.0999755859375,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671893874870,-110,5.0,SF7BW125,success,uplink,3767d531-61ce-4eba-b22b-4fef791847b9,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,225,24.12.2022 15:57:54,3,01000048
24.12.2022 15:58:57,12.1577,47.5758,6,868.2999877929688,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893934852,-114,-7.199999809265137,SF7BW125,success,uplink,f9cf70f6-c4cf-4e6b-af5a-3f156d01bc5d,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,226,24.12.2022 15:58:54,3,01000048
24.12.2022 15:59:57,12.1577,47.5758,7,868.5,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671893994879,-114,-5.800000190734863,SF7BW125,success,uplink,ba971201-3781-433b-b2ab-09b3ff9da5d6,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,227,24.12.2022 15:59:54,3,01000048
24.12.2022 16:00:57,12.1577,47.5758,5,868.0999755859375,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671894054901,-109,6.0,SF7BW125,success,uplink,d28e8394-5160-45db-afbc-7d0ce2dbfaa5,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,228,24.12.2022 16:00:54,3,01000048
24.12.2022 16:01:57,12.1577,47.5758,6,868.2999877929688,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671894114860,-115,-7.800000190734863,SF7BW125,success,uplink,7cef16d8-c10c-44e0-83d6-b17099f7abaf,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,229,24.12.2022 16:01:54,3,01000048
24.12.2022 16:02:57,12.1577,47.5758,7,868.5,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671894174857,-112,-5.5,SF7BW125,success,uplink,abfce816-f710-4f9c-837d-57cf5ab7e7c6,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,230,24.12.2022 16:02:54,3,01000048
24.12.2022 16:03:57,12.1577,47.5758,6,868.2999877929688,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671894234831,-109,4.199999809265137,SF7BW125,success,uplink,d722aba2-c45e-44ba-92e1-64bb8ab355b1,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,231,24.12.2022 16:03:54,3,01000048
24.12.2022 16:04:57,12.1577,47.5758,5,868.0999755859375,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671894294808,-116,-8.5,SF7BW125,success,uplink,da3bc07a-e633-4c27-8858-0283b40f96fe,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,232,24.12.2022 16:04:54,3,01000048
24.12.2022 16:05:57,12.1577,47.5757,7,868.5,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671894354800,-115,-7.5,SF7BW125,success,uplink,0df6bc16-c196-4a64-8031-c84bb0aa9b4c,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,233,24.12.2022 16:05:54,3,01000048
24.12.2022 16:06:57,12.1577,47.5758,5,868.0999755859375,0,11mRE6CqY1UNomYQ5v8W1dPSxJV14Awbiv3oBndsbTcFWaMJAsM,47.5727162077406,12.159984839583768,loud-pastel-sloth,1671894414820,-111,5.5,SF7BW125,success,uplink,04b353df-f0f4-49d8-9cbe-5f05b1744cd2,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,234,24.12.2022 16:06:54,3,01000048
24.12.2022 16:07:57,12.1577,47.5758,7,868.5,0,112Dk15v8LZLXLEbAwMiC1j48kekxhNCReUxFXAgTtc4kJxgf7Rd,47.56709396667235,12.155058925144669,young-amethyst-cod,1671894474825,-112,-3.200000047683716,SF7BW125,success,uplink,2efa4aef-38f9-4b54-b219-b80f7a47ed92,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,235,24.12.2022 16:07:54,3,01000048
24.12.2022 16:08:57,12.1577,47.5758,6,868.2999877929688,0,112SMTS4zsXi1b4utSGh1LDJsAnqTCXAGcJfvtWXfvesjWp4wsF6,47.58786509299521,12.176353207764825,skinny-rusty-sidewinder,1671894534805,-116,-8.5,SF7BW125,success,uplink,5164339b-7e92-4fb6-9436-6dedc879bf33,62291491-a4c9-4545-a830-dff3fc8ffef0,LoRa-POS_Node_03,236,24.12.2022 16:08:54,3,01000048
